GP0302,"WAGITUGE S.H.G",CD0032,0004
GP0321,"KIGAIGI NGWITHINJAMU S.H.G",CD0032,0004
GP0453,"GITURA S.H.G",CD0032,0004
GP0499,"MURIKA BANANA GROUP",CD0032,0004
GP0559,"KAPSIR TESTAI DAIRY",CD0015,0008
GP0606,"KORONGOI SHAMMAH",CD0010,0008
GP0630,"KEBOKIE SHG",CD0008,0007
GP0639,"MOTORIRO SHG",CD0008,0007
GP0658,"UKWELI KAPSIR YOUTH GROUP",CD0015,0008
GP0670,"KAPTULWA CHEMALUK DAIRY FARMERS",CD0015,0008
GP0671,"MANARET SHG",CD0015,0008
GP0676,"SUMONI YOUTH GROUP",CD0015,0008
GP0711,"BAITANY DAIRY FARMERS",CD0015,0008
GP0731,"CHEBILAT TUMAINI GROUP",CD0015,0008
GP0752,"CHEPLANGET UMOJA GROUP",CD0010,0008
GP0842,"GITARO WITEITHIE SHG",CD0032,0004
GP0843,"ST. TERESAS SHG",CD0032,0004
GP0872,"BONDENI SHG",CD0010,0008
GP0939,"NDIKWE MUIRUTI SHG",CD0032,0004
GP0950,"TABKESIR YOUTH GROUP",CD0010,0008
GP0991,"LITEJA GROUP",CD0010,0008
GP1031,"CHEMAITANY FARMERS GROUP",CD0015,0008
GP1066,"KALYET INVESTMENT GROUP",CD0010,0008
GP1229,"NGENDA TANGIT SHG",CD0015,0008
GP1230,"KURYOT CHAMTANY",CD0015,0008
GP1231,"MANGOITA SHG",CD0010,0008
GP1354,"KANDIRI SHG-MURANGA",CD0032,0004
GP1378,"KENYAMBI SOUTH SHG",CD0008,0007
GP1497,"KONGOINI SHG-MURANGA",CD0032,0004
GP1516,"NYAGWARE MAONO SHG",CD0008,0007
GP1518,"CHEPCHEP SHG",CD0010,0008
GP1565,"AIYEB WOMEN SHG",CD0010,0008
GP1571,"KIOBONYO W.G-NYAMIRA",CD0008,0007
GP1573,"KARURE AGRI-BUSINESS FARMERS",CD0032,0004
GP1580,"MESCO WAKULIMA S.H.G",CD0032,0004
GP1598,"SINENDET DAIRY GRP-LITEIN",CD0010,0008
GP1607,"KAPSINENDET CHORWA DAIRY-LITEIN",CD0010,0008
GP1608,"KIMOSKA YOUTH GROUP-LITEIN",CD0010,0008
GP1616,ERONGE-NYAMIRA,CD0008,0007
GP1619,"BIDII SHG-MURANGA",CD0032,0004
GP1620,NYAKEROMO,CD0008,0007
GP1623,"SOUTHLANDS GROUP-MURANGA",CD0032,0004
GP1627,"KAPCHELACH YAS ANGWAN SHG-LITEIN",CD0015,0008
GP1633,"TESTAI KAMUREITO SHG-LITEIN",CD0015,0008
GP1642,"NYAMACHE MAYA YG-NYAMIRA",CD0008,0007
GP1644,"SAREGA SHG-MURANGA",CD0032,0004
GP1645,"SISE TALATANY DAIRY FARMERS-LITEIN",CD0015,0008
GP1658,"CIUMBU MWANGAZA SHG-MURANGA",CD0032,0004
GP1659,"AMKA SHG-MURANGA",CD0032,0004
GP1660,"GAKIRA-ALPHA OPTION RABBIT FATENER'S",CD0032,0004
GP1662,"CHEPTIRGE DAIRY GROUP-LITEIN",CD0010,0008
GP1663,"GUGUNOI SHG-LITEIN",CD0010,0008
GP1670,"KARUBA SHG-MURANGA",CD0032,0004
GP1682,"BENDITAI FARMERS GRP",CD0010,0008
GP1694,"KITWEK SELF HELP GROUP",CD0015,0008
GP1707,"KOMIRMIR WEMA GROUP",CD0015,0008
GP1712,"NYAGENI S.H.G",CD0032,0004
GP1714,"GIGONOR YOUTH GRP-LITEIN",CD0010,0008
GP1718,"MASIBUN MITIMINGI Y.G",CD0010,0008
GP1725,"KUSKONG SHG-LITEIN",CD0010,0008
GP1760,"OMWABO YOUTH GROUP",CD0008,0007
GP1772,NYAKORANDA,CD0008,0007
